Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,
Weight used: PWGTP,,,,,,,,,
Universe: default universe (usually US),,,,,,,,,
,Recoded detailed race code (RAC1P),,,,,,,,
Time of arrival at work - hour and minute,White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or More Races
8:30 a.m. to 8:34 a.m.,72027,51260,43169,34743,34994,88053,37585,44181,52472
8:35 a.m. to 8:39 a.m.,71005,47755,35479,39895,44939,94001,53278,44913,56845
8:40 a.m. to 8:44 a.m.,69341,49880,40553,34768,30346,91691,42590,41522,55957
8:45 a.m. to 8:49 a.m.,71492,50218,46232,20631,31803,87007,37574,43302,56108
8:50 a.m. to 8:54 a.m.,67198,50067,42804,55166,35110,89543,38389,41608,51820
8:55 a.m. to 8:59 a.m.,65410,47870,37380,34960,82288,85181,17377,37728,57913
9:00 a.m. to 9:04 a.m.,69863,48077,37295,31240,28163,88263,51800,39324,54582
9:05 a.m. to 9:09 a.m.,60681,42926,40443,50892,37067,78507,72314,38595,50005
9:10 a.m. to 9:14 a.m.,64582,48348,40267,23437,42540,82290,27819,39921,46969
9:15 a.m. to 9:19 a.m.,65956,46877,45911,27055,25218,79069,37337,42472,51240
9:20 a.m. to 9:24 a.m.,65714,46595,38947,49151,19841,81371,38567,34830,48816
9:25 a.m. to 9:29 a.m.,67771,44426,30573,11557,65747,86511,24872,40284,59614
9:30 a.m. to 9:34 a.m.,67200,49500,35673,27905,30689,82065,47334,40187,49147
9:35 a.m. to 9:39 a.m.,57846,49368,29703,,21757,78109,50227,38782,52820
9:40 a.m. to 9:44 a.m.,60748,43740,36423,,77537,75638,19849,32680,49277
9:45 a.m. to 9:49 a.m.,53976,46094,38280,45452,28301,81631,154950,37133,47571
9:50 a.m. to 9:54 a.m.,55618,47155,29211,30682,29858,77251,51172,39352,43355
