Source: ACS 1-Year Estimates Public Use Microdata Sample 2022,,,,,,,,,
Weight used: WGTP,,,,,,,,,
Universe: default universe (usually US),,,,,,,,,
,Recoded detailed race code (RAC1P),,,,,,,,
Time of arrival at work - hour and minute,White alone,Black or African American alone,American Indian alone,Alaska Native alone,"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or More Races
11:00 a.m. to 11:04 a.m.,43,41,37,17,47,43,33,38,39
11:05 a.m. to 11:09 a.m.,41,37,33,36,30,40,41,36,35
11:10 a.m. to 11:14 a.m.,42,38,38,,46,41,34,35,35
11:15 a.m. to 11:19 a.m.,41,39,34,,27,41,68,36,37
11:20 a.m. to 11:24 a.m.,43,39,38,,48,42,49,38,40
11:25 a.m. to 11:29 a.m.,42,42,41,,,42,39,37,38
11:30 a.m. to 11:34 a.m.,43,42,41,47,32,43,36,38,37
11:35 a.m. to 11:39 a.m.,43,43,32,19,,42,32,34,38
11:40 a.m. to 11:44 a.m.,42,40,34,,37,42,32,35,37
11:45 a.m. to 11:49 a.m.,42,41,41,,40,43,48,40,35
11:50 a.m. to 11:54 a.m.,41,39,39,44,34,44,51,36,36
11:55 a.m. to 11:59 a.m.,40,39,32,,,42,29,36,38
12:00 p.m. to 12:04 p.m.,41,41,34,39,36,40,43,39,36
12:05 p.m. to 12:09 p.m.,39,36,34,20,33,37,59,37,35
12:10 p.m. to 12:14 p.m.,38,36,41,57,37,39,,34,35
12:15 p.m. to 12:19 p.m.,40,40,36,,49,39,41,39,36
12:20 p.m. to 12:24 p.m.,42,39,28,,,46,31,37,38
12:25 p.m. to 12:29 p.m.,40,39,48,23,62,41,40,38,36
12:30 p.m. to 12:34 p.m.,41,41,38,37,48,41,47,41,37
12:35 p.m. to 12:39 p.m.,41,42,31,20,,45,53,38,38
12:40 p.m. to 12:44 p.m.,40,38,24,,,42,43,41,35
12:45 p.m. to 12:49 p.m.,41,39,35,30,,46,25,40,39
12:50 p.m. to 12:54 p.m.,40,42,43,32,24,44,23,36,38
12:55 p.m. to 12:59 p.m.,39,41,37,28,25,42,19,34,37
1:00 p.m. to 1:04 p.m.,40,41,35,,43,48,41,39,37
1:05 p.m. to 1:09 p.m.,40,42,48,46,41,39,72,37,33
1:10 p.m. to 1:14 p.m.,39,37,32,60,28,41,57,34,35
1:15 p.m. to 1:19 p.m.,40,40,39,30,41,41,37,37,37
1:20 p.m. to 1:24 p.m.,39,43,35,,,44,51,37,37
1:25 p.m. to 1:29 p.m.,40,39,49,,,43,33,37,37
1:30 p.m. to 1:34 p.m.,41,41,37,,28,43,31,36,39
1:35 p.m. to 1:39 p.m.,40,36,42,,42,37,29,39,39
1:40 p.m. to 1:44 p.m.,40,39,40,44,40,42,44,39,37
1:45 p.m. to 1:49 p.m.,40,40,41,45,48,42,28,40,37
1:50 p.m. to 1:54 p.m.,38,40,40,59,32,42,52,40,35
1:55 p.m. to 1:59 p.m.,37,39,36,,26,43,30,34,35
2:00 p.m. to 2:04 p.m.,39,41,36,29,39,41,44,37,37
2:05 p.m. to 2:09 p.m.,38,38,33,18,46,40,44,39,33
2:10 p.m. to 2:14 p.m.,39,39,34,,38,41,40,36,35
2:15 p.m. to 2:19 p.m.,38,38,40,,31,42,45,39,35
2:20 p.m. to 2:24 p.m.,39,40,33,,39,44,36,37,36
2:25 p.m. to 2:29 p.m.,40,41,34,,51,46,32,40,36
2:30 p.m. to 2:34 p.m.,40,41,40,20,23,43,49,40,38
